IL ID,Label,Viscosity Group,Temp
321,"im-2,2 + otf",L,298.0
322,"im-2,2 + po2-o2,o2",H,293.0
323,"im-2,2 + so3-ph1",H,298.0
324,"im-2,2 + tfa",L,293.0
325,"im-2D,1D + fap",L,293.15
326,"im-2D,1D + so4-1D",L,293.15
327,"im-2D,1 + fap",L,293.15
328,im-2 + ac,L,283.15
329,im-2 + bf4,L,298.2
330,im-2 + clo4,L,298.2
331,im-2 + npf2,L,298.2
332,im-2 + ntf2,L,298.2
333,im-2 + otf,L,298.15
334,im-2 + pf6,H,298.2
335,im-2 + so3-1,H,298.15
336,"im-2ch,1 + ntf2",H,298.15
337,"im-2cl,1 + dca",L,293.15
338,"im-2cn,10 + behss",H,298.1
339,"im-2cn,10 + br",H,313.1
340,"im-2cn,10 + sba",H,298.15
341,"im-2cn,10 + so4-12",H,298.1
342,"im-2cn,1 + bf4",L,293.2
343,"im-2cn,1ph + cl",H,323.15
344,"im-2cn,2o2 + dca",H,293.15
345,"im-2cn,2o2 + ntf2",H,293.15
346,"im-2cn,2o2 + tfa",H,293.15
347,"im-2cn,2oh + cl",H,303.15
348,"im-2cn,4 + behss",H,298.1
349,"im-2cn,4 + br",H,298.1
350,"im-2cn,4 + bs",H,293.15
351,"im-2cn,4 + cl",H,293.15
352,"im-2cn,4 + otf",H,298.1
353,"im-2cn,4 + so4-12",H,298.1
354,"im-2cn,6 + behss",H,298.1
355,"im-2cn,6 + br",H,303.1
356,"im-2cn,6 + bs",H,293.1
357,"im-2cn,6 + cl",H,308.1
358,"im-2cn,6 + otf",H,293.1
359,"im-2cn,6 + sba",H,293.1
360,"im-2cn,6 + so4-12",H,298.1
361,"im-2cn,8 + br",H,308.1
362,"im-2cn,8 + cl",H,313.1
363,"im-2cn,a + cl",H,298.15
364,im-2cn + 1ac,L,293.15
365,im-2cn + 2ac,L,293.15
366,im-2cn + 4ac,L,293.15
367,im-2cn + ac,L,293.15
368,im-2cn + for,L,293.15
369,im-2cn + hso4,H,293.15
370,im-2cn + so3-ph1,H,303.15
371,"im-2cp,1 + ntf2",L,298.15
372,"im-2dp,4 + bf4",L,313.0
373,"im-2dp,4 + pf6",H,313.0
374,"im-2dp,6 + bf4",H,313.0
375,"im-2dp,6 + pf6",H,313.0
376,"im-2dp,8 + bf4",H,313.0
377,"im-2dp,8 + pf6",H,313.0
378,"im-2nh2,1 + bf4",L,298.0
379,"im-2nh2,1 + dca",L,303.2
380,"im-2nh2,1 + ntf2",L,303.2
381,"im-2nh2,1 + otf",L,303.2
382,"im-2nh2,1 + pf6",H,298.0
383,"im-2o1,1,1 + ntf2",L,298.2
384,"im-2o1,1,1o2 + ntf2",L,298.2
385,"im-2o1,1,1o3 + ntf2",L,298.2
386,"im-2o1,1,2 + ntf2",L,298.2
387,"im-2o1,1 + bf3-1[f]",L,298.2
388,"im-2o1,1 + bf3-2[f]",L,298.2
389,"im-2o1,1 + bf4",L,303.2
390,"im-2o1,1 + ntf2",L,293.0
391,"im-2o1,1 + otf",L,293.0
392,"im-2o1,1 + pf6",L,303.2
393,"im-2o1,1 + po2-o1,o1",H,293.0
394,"im-2o1,1 + so3-1",H,298.15
395,"im-2o1,1o1,1 + ntf2",L,298.15
396,"im-2o1,1o1,2 + ntf2",L,298.15
397,"im-2o1,1o1 + ntf2",L,298.15
398,"im-2o1,1o2 + ntf2",L,298.15
399,"im-2o1,2,1 + ntf2",L,298.2
400,"im-2o1,2,1o2 + ntf2",L,298.2
401,"im-2o1,2,1o3 + ntf2",L,298.2
402,"im-2o1,2,2 + ntf2",L,298.2
403,"im-2o1,2 + ntf2",L,298.15
404,"im-2o1,2o1,2 + ntf2",L,298.2
405,"im-2o1,2o1 + ntf2",L,298.15
406,"im-2o1,3,1 + ntf2",L,298.2
407,"im-2o1,3,2 + ntf2",L,298.2
408,"im-2o1,3 + ntf2",L,298.15
409,"im-2o1,4,1 + ntf2",L,298.2
410,"im-2o1,4,2 + ntf2",L,298.2
411,"im-2o1,4 + ntf2",L,298.15
412,"im-2o1,5,1 + ntf2",L,298.2
413,"im-2o1,5,2 + ntf2",L,298.2
414,"im-2o2,1,1 + ntf2",L,298.2
415,"im-2o2,1,1o2 + ntf2",L,298.2
416,"im-2o2,1,1o3 + ntf2",L,298.2
417,"im-2o2,1,2 + ntf2",L,298.2
418,"im-2o2,1 + cl",H,293.15
419,"im-2o2,1 + ntf2",L,298.15
420,"im-2o2,1o1,1 + ntf2",L,298.15
421,"im-2o2,1o1,2 + ntf2",L,298.15
422,"im-2o2,1o1 + ntf2",L,298.15
423,"im-2o2,1o2 + ntf2",L,298.15
424,"im-2o2,2,1 + ntf2",L,298.2
425,"im-2o2,2,1o2 + ntf2",L,298.2
426,"im-2o2,2,1o3 + ntf2",L,298.2
427,"im-2o2,2,2 + ntf2",L,298.2
428,"im-2o2,2 + ntf2",L,298.15
429,"im-2o2,2o1,1 + ntf2",L,298.2
430,"im-2o2,2o1,2 + ntf2",L,298.2
431,"im-2o2,2o1 + ntf2",L,298.15
432,"im-2o2,2o2,1 + ntf2",L,298.2
433,"im-2o2,2o2,2 + ntf2",L,298.2
434,"im-2o2,2o2 + ntf2",L,298.15
435,"im-2o2,3,1 + ntf2",L,298.2
436,"im-2o2,3,2 + ntf2",L,298.2
437,"im-2o2,3 + ntf2",L,298.15
438,"im-2o2,4,1 + ntf2",L,298.2
439,"im-2o2,4,2 + ntf2",L,298.2
440,"im-2o2,4 + ntf2",L,298.15
441,"im-2o2,5,1 + ntf2",L,298.2
442,"im-2o2,5,2 + ntf2",L,298.2
443,"im-2o2oh,1 + cl",H,293.15
444,"im-2oh,1 + bf4",L,298.2
445,"im-2oh,1 + dca",L,293.15
446,"im-2oh,1 + fap",H,298.15
447,"im-2oh,1 + imidazolide",H,313.2
448,"im-2oh,1 + ntf2",H,278.15
449,"im-2oh,1 + pf6",L,303.2
450,"im-2ono2,1 + dca",L,298.0
451,"im-2ph,1 + alcl4",L,313.15
452,"im-2ph,1 + ntf2",H,298.15
453,"im-2v,1,1 + pyrazolide-no2[4]",H,278.15
454,"im-3,1,1 + bf4",H,298.2
455,"im-3,1,1 + ctf3",H,283.15
456,"im-3,1,1 + hso4",H,288.15
457,"im-3,1,1 + ntf2",L,298.0
458,"im-3,1,1 + pyrazolide-no2[4]",H,278.15
459,"im-3,1,1o2 + ntf2",L,298.2
460,"im-3,1,1o3 + ntf2",L,298.2
461,"im-3,1,1o4 + ntf2",L,293.0
462,"im-3,1,cn + ntf2",H,293.0
463,"im-3,1 + alcl4",L,284.1
464,"im-3,1 + bf3-1[f]",L,298.2
465,"im-3,1 + bf3-2[f]",L,298.2
466,"im-3,1 + bf3-3[f]",L,298.2
467,"im-3,1 + bf3-4[f]",L,298.2
468,"im-3,1 + bf4",L,298.15
469,"im-3,1 + h2po4",L,288.15
470,"im-3,1 + hco3",L,288.15
471,"im-3,1 + i",H,298.2
472,"im-3,1 + no3",L,297.0
473,"im-3,1 + npf2",L,297.0
474,"im-3,1 + ntf2",L,298.15
475,"im-3,1 + pf6",L,318.15
476,"im-3,1 + scn",L,293.15
477,"im-3,2,1o2 + ntf2",L,298.2
478,"im-3,2,1o3 + ntf2",L,298.2
479,"im-3,2 + ntf2",L,278.15
480,"im-3,3 + ntf2",L,278.15
481,"im-3ch,1 + ntf2",H,298.15
482,"im-3cn,1,1 + dca",H,298.2
483,"im-3cn,1,1 + ntf2",H,298.2
484,"im-3cn,1 + bf3-3icn",L,303.2
485,"im-3cn,1 + bf4",H,293.2
486,"im-3cn,1 + dca",H,298.2
487,"im-3cn,1 + ntf2",H,298.2
488,"im-3cn,3cn + bf3-3icn",H,303.2
489,"im-3cooh,1 + bf3-3icn",H,303.2
490,"im-3dp,4 + bf4",H,313.0
491,"im-3dp,4 + pf6",H,313.0
492,"im-3dp,6 + bf4",H,313.0
493,"im-3dp,6 + pf6",H,313.0
494,"im-3dp,8 + bf4",H,313.0
495,"im-3dp,8 + pf6",H,313.0
496,"im-3i,1 + ntf2",L,278.15
497,"im-3nh1phen,4 + ntf2",H,298.2
498,"im-3nh1phen,4 + pf6",H,298.2
